,PAT006-S2,PAT006-S7,PAT006-S3,PAT006-S8,PAT006-T1,PAT006-S6,PAT006-S4,PAT006-S5,PAT006-S9
PAT006-S2,0.0,50.0,60.708333333333336,72.37500000000001,72.37500000000001,59.541666666666664,62.90833333333334,60.50833333333333,57.125
PAT006-S7,50.0,0.0,58.458333333333336,70.12500000000001,70.12500000000001,57.291666666666664,60.65833333333334,58.25833333333333,54.875
PAT006-S3,60.708333333333336,58.458333333333336,0.0,56.0,56.0,55.16666666666667,63.86666666666667,61.466666666666676,62.833333333333336
PAT006-S8,72.375,70.125,56.0,0.0,0.0,66.83333333333334,75.53333333333333,73.13333333333333,74.5
PAT006-T1,72.375,70.125,56.0,0.0,0.0,66.83333333333334,75.53333333333333,73.13333333333333,74.5
PAT006-S6,59.54166666666667,57.29166666666667,55.16666666666667,66.83333333333334,66.83333333333334,0.0,62.7,60.300000000000004,61.66666666666667
PAT006-S4,62.90833333333333,60.65833333333333,63.86666666666667,75.53333333333335,75.53333333333335,62.699999999999996,0.0,52.0,65.03333333333333
PAT006-S5,60.50833333333333,58.25833333333333,61.46666666666666,73.13333333333334,73.13333333333334,60.3,52.0,0.0,62.63333333333333
PAT006-S9,57.125,54.875,62.833333333333336,74.50000000000001,74.50000000000001,61.666666666666664,65.03333333333333,62.63333333333333,0.0
