,PAT010-S2,PAT010-S3,PAT010-T1,PAT010-S4,PAT010-S7,PAT010-S5,PAT010-S6,PAT010-S8
PAT010-S2,0.0,66.0,66.0,64.0,68.75,67.16666666666666,67.47916666666666,69.60416666666666
PAT010-S3,66.0,0.0,0.0,58.0,70.25,68.66666666666666,68.97916666666666,71.10416666666666
PAT010-T1,66.0,0.0,0.0,58.0,70.25,68.66666666666666,68.97916666666666,71.10416666666666
PAT010-S4,64.0,58.0,58.0,0.0,68.25,66.66666666666666,66.97916666666666,69.10416666666666
PAT010-S7,68.75000000000001,70.25000000000001,70.25000000000001,68.25000000000001,0.0,64.08333333333334,64.39583333333334,66.52083333333334
PAT010-S5,67.16666666666667,68.66666666666667,68.66666666666667,66.66666666666667,64.08333333333334,0.0,58.4375,60.5625
PAT010-S6,67.47916666666666,68.97916666666667,68.97916666666667,66.97916666666666,64.39583333333334,58.4375,0.0,57.0
PAT010-S8,69.60416666666667,71.10416666666667,71.10416666666667,69.10416666666667,66.52083333333334,60.5625,57.0,0.0
