,PAT005-S2,PAT005-S7,PAT005-T1,PAT005-S8,PAT005-S3,PAT005-S5,PAT005-S6,PAT005-S4
PAT005-S2,0.0,79.8,79.8,57.2,54.125,60.458333333333336,58.458333333333336,59.958333333333336
PAT005-S7,79.8,0.0,0.0,57.0,83.675,90.00833333333333,88.00833333333333,89.50833333333333
PAT005-T1,79.8,0.0,0.0,57.0,83.675,90.00833333333333,88.00833333333333,89.50833333333333
PAT005-S8,57.2,57.0,57.0,0.0,61.075,67.40833333333333,65.40833333333333,66.90833333333333
PAT005-S3,54.125,83.675,83.675,61.074999999999996,0.0,59.166666666666664,57.166666666666664,58.666666666666664
PAT005-S5,60.458333333333336,90.00833333333333,90.00833333333333,67.40833333333333,59.166666666666664,0.0,51.25,52.75
PAT005-S6,58.458333333333336,88.00833333333333,88.00833333333333,65.40833333333333,57.166666666666664,51.25,0.0,50.0
PAT005-S4,59.958333333333336,89.50833333333333,89.50833333333333,66.90833333333333,58.666666666666664,52.75,50.0,0.0
