,PAT005-S2,PAT005-S7,PAT005-T1,PAT005-S8,PAT005-S3,PAT005-S5,PAT005-S6,PAT005-S4
PAT005-S2,inf,inf,inf,57.2,54.125,inf,inf,inf
PAT005-S7,inf,inf,0.0,inf,inf,inf,inf,inf
PAT005-T1,inf,0.0,inf,57.0,inf,inf,inf,inf
PAT005-S8,57.2,inf,57.0,inf,inf,inf,inf,inf
PAT005-S3,54.125,inf,inf,inf,inf,inf,57.166666666666664,inf
PAT005-S5,inf,inf,inf,inf,inf,inf,51.25,inf
PAT005-S6,inf,inf,inf,inf,57.166666666666664,51.25,inf,50.0
PAT005-S4,inf,inf,inf,inf,inf,inf,50.0,inf
