,PAT004-S2,PAT004-S8,PAT004-T1,PAT004-S7,PAT004-S4,PAT004-S3,PAT004-S6,PAT004-S5
PAT004-S2,inf,inf,inf,52.875,inf,inf,54.2875,inf
PAT004-S8,inf,inf,0.0,inf,inf,inf,inf,inf
PAT004-T1,inf,0.0,inf,66.0,inf,inf,inf,inf
PAT004-S7,52.875,inf,66.0,inf,inf,inf,inf,inf
PAT004-S4,inf,inf,inf,inf,inf,inf,56.9125,inf
PAT004-S3,inf,inf,inf,inf,inf,inf,41.0,inf
PAT004-S6,54.2875,inf,inf,inf,56.9125,41.0,inf,51.6
PAT004-S5,inf,inf,inf,inf,inf,inf,51.6,inf
