,PAT004-S2,PAT004-S8,PAT004-T1,PAT004-S7,PAT004-S4,PAT004-S3,PAT004-S6,PAT004-S5
PAT004-S2,0.0,69.125,69.125,52.875,57.25,58.0875,54.2875,61.0625
PAT004-S8,69.125,0.0,0.0,66.0,80.875,81.7125,77.9125,84.6875
PAT004-T1,69.125,0.0,0.0,66.0,80.875,81.7125,77.9125,84.6875
PAT004-S7,52.875,66.0,66.0,0.0,64.625,65.4625,61.6625,68.4375
PAT004-S4,57.25,80.875,80.875,64.625,0.0,60.7125,56.9125,63.6875
PAT004-S3,58.0875,81.7125,81.7125,65.4625,60.7125,0.0,41.0,55.4
PAT004-S6,54.2875,77.9125,77.9125,61.6625,56.9125,41.0,0.0,51.6
PAT004-S5,61.0625,84.6875,84.6875,68.4375,63.6875,55.4,51.6,0.0
