,PAT007-S2,PAT007-T1,PAT007-S5,PAT007-S8,PAT007-S7,PAT007-S3,PAT007-S6,PAT007-S9,PAT007-S4
PAT007-S2,0.0,0.0,71.0,87.16666666666666,88.76666666666667,90.89166666666665,98.475,94.9125,95.7875
PAT007-T1,0.0,0.0,71.0,87.16666666666666,88.76666666666667,90.89166666666665,98.475,94.9125,95.7875
PAT007-S5,71.0,71.0,0.0,55.833333333333336,57.43333333333334,59.55833333333334,67.14166666666668,63.57916666666667,64.45416666666668
PAT007-S8,87.16666666666666,87.16666666666666,55.833333333333336,0.0,51.4,53.525,61.108333333333334,57.545833333333334,58.420833333333334
PAT007-S7,88.76666666666665,88.76666666666665,57.43333333333334,51.4,0.0,42.875,50.458333333333336,46.895833333333336,47.770833333333336
PAT007-S3,90.89166666666665,90.89166666666665,59.55833333333334,53.525,42.875,0.0,47.416666666666664,43.854166666666664,44.729166666666664
PAT007-S6,98.47499999999998,98.47499999999998,67.14166666666668,61.108333333333334,50.458333333333336,47.416666666666664,0.0,45.0625,45.9375
PAT007-S9,94.91249999999998,94.91249999999998,63.57916666666667,57.545833333333334,46.895833333333336,43.854166666666664,45.0625,0.0,39.0
PAT007-S4,95.78749999999998,95.78749999999998,64.45416666666668,58.420833333333334,47.770833333333336,44.729166666666664,45.9375,39.0,0.0
