,PAT003-S2,PAT003-S5,PAT003-S7,PAT003-S3,PAT003-T1,PAT003-S6,PAT003-S4,PAT003-S8
PAT003-S2,0.0,60.75,62.25,63.325,63.325,62.925,64.125,58.875
PAT003-S5,60.75,0.0,59.0,64.325,64.325,63.925,65.125,59.875
PAT003-S7,62.25,59.0,0.0,65.825,65.825,65.425,66.625,61.375
PAT003-S3,63.325,64.325,65.825,0.0,0.0,54.0,61.2,59.7
PAT003-T1,63.325,64.325,65.825,0.0,0.0,54.0,61.2,59.7
PAT003-S6,62.925,63.925,65.425,54.0,54.0,0.0,60.8,59.3
PAT003-S4,64.125,65.125,66.625,61.2,61.2,60.8,0.0,60.5
PAT003-S8,58.875,59.875,61.375,59.7,59.7,59.3,60.5,0.0
